stove_details_name,details_manu,details_web,stove_desc,details_tiers_eff_num,details_tiers_safe_num,details_tiers_co_num,details_tiers_pm_num,details_tiers_dur_num,details_tiers_iwa_ie_num,stove_life,pot_rec,pot_cap,stove_feed,stove_food_common,stove_price,stove_dimensions,stove_weight,stove_dimensions,stove_assembly_materials,iso_co_val,iso_co_sd,iso_co_num,iso_co_date,iso_co_fuel,iso_pm_val,iso_pm_sd,iso_pm_num,iso_pm_date,iso_pm_fuel,iso_eff_char_val,iso_eff_char_sd,iso_eff_char_num,iso_eff_char_date,iso_eff_char_fuel,iso_eff_val,iso_eff_sd,iso_eff_num,iso_eff_date,iso_eff_fuel,iso_safe_val,iso_safe_sd,iso_safe_num,iso_safe_date,iso_safe_fuel,iso_dur_val,iso_dur_sd,iso_dur_num,iso_dur_date,iso_dur_fuel,iwa_co_val,iwa_co_sd,iwa_co_num,iwa_co_date,hp_co_fuel,iwa_pm_val,iwa_pm_sd,iwa_pm_num,iwa_pm_date,hp_pm_fuel,iwa_co_low_val,iwa_co_low_sd,iwa_co_low_num,iwa_co_low_date,lp_co_fuel,iwa_pm_low_val,iwa_pm_low_sd,iwa_pm_low_num,iwa_pm_low_date,lp_pm_fuel,iwa_eff_val,iwa_eff_sd,iwa_eff_num,iwa_eff_date,hp_eff_fuel,iwa_eff_val,iwa_eff_sd,iwa_eff_num,iwa_eff_date,hp_eff_fuel
Mimi Moto,Mimi Moto Holding B.V.,http://www.mimimoto.nl/,"Mimi Moto is a Tier 4 forced air gasifier stove. By gasifying wood instead of burning it directly (like on an open fire), gases are extracted and burned. The Mimi Moto has two removable burning chambers. The larger chamber produces a high power flame for cooking with large pots while the small chamber is specially designed for low power simmering. The integrated fan can be powered by a built-in battery pack and/or a separate solar panel for operation in off-grid areas.",Tier 4,Not Available,Tier 5,Tier 4,Not Available,,10,Both,50,3.0-7.0,all cooking practices because of the 2 burning chambers,40.0-65.0,260.0/260.0/360.0,4.15,260.0/260.0/360.0,Feet and Pan support,2.23,2.2 - 2.2,1,2021,Pellets,30,30 - 30,1,2021,Pellets,49.7,49.7 - 49.7,1,2021,Pellets,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,0.2,0.2 - 0.2,1,2015,Pellets,13.9,13.9 - 13.9,1,2015,Pellets,0,0 - 0,1,2015,Pellets,0.1,0.1 - 0.1,1,2015,Pellets,46.8,46.8 - 46.8,1,2015,Pellets,46.8,46.8 - 46.8,1,2015,Pellets
Philips HD4012,Philips,http://www.philips.com/,The Philips HD4012 is a fan-driven gasifier stove that burns biomass in a ceramic-lined stainless steel combustion chamber. This model is no longer being manufactured.,Tier 3,Not Available,Tier 4,Tier 3,Not Available,,,Both,100,nan,,89.0-89.0,330.0/350.0/330.0,4.6,330.0/350.0/330.0,,3.23,3.2 - 3.2,1,2021,Wood,118.8,119 - 119,1,2021,Wood,38.4,38.4 - 38.4,1,2021,Wood,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,1.8,1 - 2.7,2,2012,Wood,104.8,62.3 - 147.3,2,2012,Wood,0,0 - 0,2,2012,Wood,0.6,0.6 - 0.7,2,2012,Wood,38.9,38.4 - 39.4,2,2012,Wood,38.9,38.4 - 39.4,2,2012,Wood
Envirofit G-3300,Envirofit International,http://www.envirofit.org/,"Lightweight metal rocket stove mass produced in China. Durable, patented metal alloy combustion chamber and design. Maximizes stove life, quality control, safety and heat transfer. Minimizes emissions, weight and overall cost of the stove over the stove life. This model is no longer being manufactured.",Tier 3,Not Available,Tier 3,Tier 1,Not Available,,,,,nan,,nan,275.0/261.0/288.0,5.2,275.0/261.0/288.0,,4.53,4.5 - 4.5,1,2021,Wood,328.3,328 - 328,1,2021,Wood,39.8,39.8 - 39.8,1,2021,Wood,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,3.8,3.1 - 5.1,4,2012,Wood,320.8,249.5 - 478,4,2012,Wood,0.1,0 - 0.1,4,2012,Wood,1.7,0.4 - 2.5,4,2012,Wood,35.6,28.5 - 39.4,5,NaN,Wood,35.6,28.5 - 39.4,5,NaN,Wood
Kenyan Ceramic Jiko,Sanivation,nan,,Tier 3,Not Available,Tier 0,Tier 3,Not Available,,,Both,,nan,,nan,,,,,19.27,19.3 - 19.3,1,2021,Charcoal,95.3,95 - 95,1,2021,Charcoal,38.7,38.7 - 38.7,1,2021,Charcoal,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,35.7,30 - 41.4,2,2012,Charcoal,473,298.5 - 647.5,2,2012,Charcoal,0.1,0.1 - 0.1,2,2012,Charcoal,0.6,0.4 - 0.7,2,2012,Charcoal,30.8,29.2 - 32.3,2,2012,Charcoal,30.8,29.2 - 32.3,2,2012,Charcoal
Three Stone Fire,,,,Tier 1,Not Available,Tier 1,Tier 0,Not Available,,,Flat bottom,,nan,,nan,,,,,15.5,15.5 - 15.5,1,2021,Wood,943.3,943 - 943,1,2021,Wood,14.4,14.4 - 14.4,1,2021,Wood,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,15.4,11.2 - 19.9,3,2012,Wood,1486.2,718.5 - 2390,3,2012,Wood,0.2,0.2 - 0.2,3,2012,Wood,17.1,8.6 - 28.7,3,2012,Wood,14.1,13.7 - 14.9,3,2012,Wood,14.1,13.7 - 14.9,3,2012,Wood
CleanCook Aluminum One-Burner (A1),Dometic (Pty) Ltd.,http://www.dometic.com/enie/International/Site/CleanCook-Alcohol-Fueled-Stoves/CleanCook-product-range/,"All stainless steel burner parts, body of aluminum, galvanized steel, aluminum. Single burner.",Tier 4,Tier 4,,,,Tier 4,6,Both,5,5.0-5.0,All types cooked in a pot or frying pan,nan,340.0/290.0/160.0,2.2,340.0/290.0/160.0,"riveting tool, screwdriver, wrench",Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,1.5,1.5 - 1.5,1,2015,Ethanol/alcohol,1.5,1.5 - 1.5,1,2015,Ethanol/alcohol,0,0 - 0,1,2015,Ethanol/alcohol,0,0 - 0,1,2015,Ethanol/alcohol,56.2,56.2 - 56.2,1,2015,Ethanol/alcohol,56.2,56.2 - 56.2,1,2015,Ethanol/alcohol
Shengzhou Charcoal Stove,Shengzhou Stove Manufacturer,http://www.ssmcookstoves.com/,This charcoal stove features a small combustion chamber so that only the amount of fuel that is needed for cooking is consumed. Reflective insulation allows the stove to quickly achieve the temperature needed to burn the CO. Secondary air allows the CO to burn down to safe emissions levels. The stove features a tight sealing door to control the firepower so that there is no need to remove charcoal for low power cooking. The effective insulation allows for faster lighting times.,Tier 4,Not Available,,,,Tier 4,3,Flat bottom,9,3.0-12.0,Any food that can be cooked in a pot at low or high power.,20.0-20.0,280.0/280.0/260.0,7,280.0/280.0/260.0,,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,6.4,6.4 - 6.4,1,2013,Charcoal,28.2,28.2 - 28.2,1,2013,Charcoal,0,0 - 0,1,2013,Charcoal,0,0 - 0,1,2013,Charcoal,47,47 - 47,1,2013,Charcoal,47,47 - 47,1,2013,Charcoal
Natural Draft Top Lit Up Draft Stove (TLUD),Shengzhou Stove Manufacturer,http://www.ssmcookstoves.com/,The TLUD is a batch fed stove that burns biomass in pellet form or as locally harvested pieces. It has adjustable primary air to control the firepower and to provide the correct amount of primary air for the selected fuel. The secondary air enters the combustion zone in three different areas in such a way that allows for excellent mixing of air and wood gas and clean combustion.,Tier 4,Not Available,,,,Tier 3,3,Flat bottom,7,5.0-7.0,Any food that can be cooked in a pot at low or high power.,20.0-20.0,280.0/300.0/530.0,5.5,280.0/300.0/530.0,,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,0.1,0.1 - 0.1,1,2014,Wood,24.9,24.9 - 24.9,1,2014,Wood,0,0 - 0,1,2014,Wood,0.2,0.2 - 0.2,1,2014,Wood,45.6,45.6 - 45.6,1,2014,Wood,45.6,45.6 - 45.6,1,2014,Wood
100 Liter Institutional Cookstove,Institutional Stove Solutions,http://www.instove.org/,"InStove’s clean-burning, ultra high-efficiency biomass cook stoves have been serving children and families in clinics, refugee camps, and schools around the world for years. Our stoves operate on tiny amounts of biomass which can include wood or our sustainable biomass briquettes. Two or three kilograms of such fuel is enough to cook a full pot of food. At the heart of these stoves is an advanced-design combustion chamber, built from 310 stainless steel and surrounded by lightweight insulation. At operating temperature, which can reach 1100 degrees Celsius, the stove literally “burns up the smoke.”",Tier 4,Tier 3,,,,Tier 4,,Other pot type,100,50.0-700.0,"Beans, rice, curry, porridge, corn, etc.",995.0-995.0,950.0/670.0/860.0,50,950.0/670.0/860.0,Successful mass production depends on establishing step-by-step operations and using the best possible tooling and custom jigs -- all of which force precision construction. This method of sending all needed material to build thousands of stoves is referred to as 'Stove-Factory-In-A-Box'.,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,1.3,1.3 - 1.3,1,2013,Wood,102,102 - 102,1,2013,Wood,0,0 - 0,1,2013,Wood,0.5,0.5 - 0.5,1,2013,Wood,46.7,46.7 - 46.7,1,2013,Wood,46.7,46.7 - 46.7,1,2013,Wood
60 Liter Institutional Cookstove,Institutional Stove Solutions,http://www.instove.org/,"InStove’s clean-burning, ultra high-efficiency biomass cook stoves have been serving children and families in clinics, refugee camps, and schools around the world for years. Our stoves operate on tiny amounts of biomass which can include wood or our sustainable biomass briquettes. Two or three kilograms of such fuel is enough to cook a full pot of food. At the heart of these stoves is an advanced-design combustion chamber, built from 310 stainless steel and surrounded by lightweight insulation. At operating temperature, which can reach 1100 degrees Celsius, the stove literally “burns up the smoke.”",Tier 4,Tier 3,,,,Tier 4,10,Other pot type,60,25.0-400.0,"Beans, rice, curry, porridge, corn, etc.",850.0-850.0,880.0/590.0/880.0,38,880.0/590.0/880.0,Successful mass production depends on establishing step-by-step operations and using the best possible tooling and custom jigs -- all of which force precision construction. This method of sending all needed material to build thousands of stoves is referred to as 'Stove-Factory-In-A-Box'.,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,0.8,0.8 - 0.8,1,2013,Wood,83.1,83.1 - 83.1,1,2013,Wood,0,0 - 0,1,2013,Wood,0.5,0.5 - 0.5,1,2013,Wood,48.4,48.4 - 48.4,1,2013,Wood,48.4,48.4 - 48.4,1,2013,Wood
